% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.39370078,-0.5905512,0.19660001,7.99660001,-0.00556764,0.11398863,-0.06166007,
-0.39370078,-0.5905512,0.39340001,8.19340001,-0.00464095,0.09650817,-0.05138801,
-0.39370078,-0.5905512,0.59039998,8.39039998,-0.00387988,0.08203048,-0.04300025,
-0.39370078,-0.5905512,0.78719997,8.58719997,-0.0032533,0.07000077,-0.03598943,
-0.39370078,-0.5905512,0.98400003,8.78400003,-0.00267889,0.05993806,-0.03008921,
-0.39370078,-0.5905512,1.18079996,8.98079996,-0.00226207,0.05142053,-0.02543241,
-0.39370078,-0.5905512,1.37759995,9.17759995,-0.00187884,0.0443448,-0.02141326,
-0.39370078,-0.5905512,1.57459998,9.37459998,-0.00157789,0.03840188,-0.01808184,
-0.39370078,-0.5905512,1.77139997,9.57139997,-0.00136222,0.03323785,-0.0153146,
-0.39370078,-0.5905512,1.96819997,9.76819997,-0.00109134,0.02887028,-0.01307436,
-0.39370078,-0.5905512,2.16499996,9.96499996,-0.00087867,0.02520495,-0.0111495,
-0.39370078,-0.5905512,2.36199999,10.16199999,-0.00079115,0.02205152,-0.00955456,
-0.39370078,-0.5905512,2.55879998,10.35879998,-0.00068209,0.01938873,-0.00820733,
-0.39370078,-0.5905512,2.75559998,10.55559998,-0.00050447,0.01711742,-0.00710164,
-0.39370078,-0.5905512,2.95239997,10.75239997,-0.00045121,0.01508292,-0.00607376,
-0.39370078,-0.5905512,3.1494,10.9494,-0.00040256,0.01339279,-0.00528339,
-0.39370078,-0.5905512,3.34619999,11.14619999,-0.00033963,0.01194014,-0.00463985,
-0.39370078,-0.5905512,3.54320002,11.34320002,-0.00032507,0.01056527,-0.00401159,
-0.39370078,-0.5905512,3.73979998,11.53979998,-0.00022587,0.00941197,-0.00350566,
